Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
LAR,2025,1692.33,24.1768,7.45125,0.777862,6.38711,0.1246,0.2165,-0.00417812,-0.0939,-0.1284,-0.0743875,0.2186,29.1538,17.4615,11.6923,10,10.025,9.10066,13
SEA,2025,1682.03,-0.7805,7.03908,1.58478,7.10585,0.0753,0.1734,-0.0960203,-0.1688,-0.1126,-0.1492,0.2441,29.7692,17.3846,12.3846,10,10.1603,8.82638,12
DET,2025,1631.48,2.0566,5.01712,0.138223,0.492642,0.1226,0.1876,0.0127492,0.0052,0.0017,-0.0899213,0.1174,30.3077,23.3846,6.9231,8,8.4369,8.75612,8
GB,2025,1630.49,9.2298,4.97751,0.0232182,2.95516,0.1517,0.2903,-0.0109718,0.0326,0.0223,-0.0443654,0.1191,24.7692,19,5.7692,9,8.4778,8.84766,10
BUF,2025,1608.45,4.3721,4.09622,-0.792217,-0.183316,0.1599,0.1865,0.0710934,0.0506,-0.0759,0.0702805,0.1093,28.9231,22.5385,6.3846,9,8.3671,9.44496,7
PHI,2025,1595.44,-7.3846,3.57576,-1.19931,-1.04781,-0.0068,0.0264,-0.0497926,-0.0331,-0.0951,-0.033326,0.0263,22.2308,20.8462,1.3846,8,6.9944,9.85993,8
KC,2025,1592.35,-6.4879,3.45224,-1.61392,0.258794,0.114,0.1506,0.0527985,0.041,0.0136,-0.028658,0.0729,24.2308,19.3846,4.8462,6,8.1798,8.45201,8
NE,2025,1571.88,17.9453,2.63338,-0.259639,5.69529,0.0978,0.2873,-0.0914321,-0.0609,-0.0536,-0.0471333,0.1588,27,18.5385,8.4615,11,9.2185,7.75437,8
SF,2025,1565.52,-2.2,2.37893,-0.259639,1.55799,0.079,0.1272,-0.0680918,0.0149,0.0951,-0.0448718,0.0641,23.6154,20.6923,2.9231,9,7.5095,7.7894,7
HOU,2025,1561.41,-4.196,2.21464,0.400239,2.39206,-0.0296,0.0227,-0.0659302,-0.1649,-0.2402,-0.0451384,0.1352,21.7692,16,5.7692,8,8.7717,7.59675,8
DEN,2025,1553.93,4.4284,1.91507,-0.19456,0.412368,0.0404,0.0755,0.0171727,-0.0534,-0.1006,-0.061529,0.0938,23.6923,18.0769,5.6154,11,8.5151,9.07458,10
BAL,2025,1550.97,-20.5635,1.79705,-0.60186,-4.53536,0.0199,-0.1016,0.0486441,0.0431,0.0641,-0.0403582,-0.0233,23.9231,24.6154,-0.6923,6,6.2803,8.46639,7
IND,2025,1540.98,8.0268,1.39729,-1.12853,4.4539,0.1536,0.1167,0.119637,0.0068,0.005,-0.0673817,0.1468,28.9231,21.9231,7,8,8.5608,7.24521,9
JAX,2025,1513.62,-2.9406,0.302915,0.41062,2.23401,0.0182,-0.027,0.00938229,-0.0615,-0.1116,-0.0582354,0.0797,25.2308,20.9231,4.3077,9,7.9188,6.88385,9
DAL,2025,1512.08,16.9004,0.241152,-0.846465,1.28291,0.1503,0.1741,-0.0309761,0.1577,0.1819,0.0893715,-0.0074,29.3077,29.6923,-0.3846,6,6.3996,6.09802,6
LAC,2025,1509.1,-24.4337,0.122026,-0.540498,-0.528179,-0.001,-0.0431,-0.00886925,-0.0426,-0.1231,-0.030263,0.0416,23,20.8462,2.1538,9,7.2539,8.24163,6
PIT,2025,1503,-4.786,-0.122031,0.412813,-0.188794,0.0459,0.0109,-0.013993,0.0362,0.0034,0.0310974,0.0097,23.6923,23.9231,-0.2308,7,6.4253,7.35656,6
CHI,2025,1499.42,9.9103,-0.265093,-0.372798,1.09401,0.0445,0.051,0.0676332,0.0362,0.0259,-0.000377446,0.0083,25.6923,25.7692,-0.0769,9,6.477,6.11697,8
CIN,2025,1474.08,4.5553,-1.27895,0.95228,-2.8977,0.0324,-0.0609,0.00752866,0.1632,0.2358,0.0765626,-0.1308,24.1538,31.7692,-7.6154,4,4.4603,6.21046,5
TB,2025,1458.33,-14.2829,-1.90893,-0.828677,-2.18179,-0.029,-0.0728,0.0116077,0.0032,0.032,-0.0901313,-0.0322,23,25,-2,7,5.8598,7.54343,5
MIA,2025,1436.33,-32.817,-2.78876,1.59339,-2.56754,0.0332,-0.0084,0.0179062,0.0465,0.0721,-0.00301892,-0.0133,21.6154,22.7692,-1.1538,6,6.0999,6.46602,8
MIN,2025,1431.63,-19.1712,-2.97693,0.533486,-3.60528,-0.122,-0.2304,-0.0471948,-0.0625,-0.1017,-0.0430293,-0.0595,19.6154,21.6154,-2,5,5.7554,6.86809,4
ATL,2025,1427.81,24.1824,-3.12944,-2.40262,-2.07377,-0.044,-0.0645,-0.0223767,0.0456,-0.0252,0.0338063,-0.0897,19.3846,24.0769,-4.6923,4,4.8661,5.82285,8
CAR,2025,1407.42,9.6029,-3.94496,-0.259639,1.52972,-0.0133,-0.0609,-0.0113796,0.0628,0.1142,0.0117588,-0.0761,19,22.8462,-3.8462,7,5.1023,5.55947,4
NYG,2025,1401.81,-10.4294,-4.16946,-0.259639,0.481865,0.0315,0.0025,0.00431876,0.1412,0.079,0.183775,-0.1096,21.4615,28.2308,-6.7692,2,4.4596,3.70713,3
ARI,2025,1391.82,-34.1598,-4.56933,-1.02821,-4.78537,-0.0335,0.011,-0.0852382,0.0667,0.0748,-0.0204882,-0.1001,21.6923,26.7692,-5.0769,3,4.9129,6.02582,3
WAS,2025,1388.94,-34.6693,-4.68433,-1.16691,-6.45271,0.0266,-0.0202,0.0238542,0.1681,0.2615,0.023779,-0.1415,20.1538,27.2308,-7.0769,3,4.2754,7.16972,3
CLE,2025,1368.95,-24.5003,-5.48411,-0.497739,-0.984873,-0.2063,-0.2713,-0.0763195,-0.0922,-0.1127,-0.128088,-0.1141,17.1538,23.1538,-6,3,4.2823,4.78186,6
NO,2025,1345.28,-5.8295,-6.43085,0.223809,-0.609316,-0.1683,-0.1607,-0.119862,-0.0067,0.0098,-0.0819468,-0.1616,15.8462,24.2308,-8.3846,3,3.4796,4.77653,3
OAK,2025,1331.46,-25.0983,-6.98362,-0.18602,-4.56368,-0.1858,-0.1687,-0.265384,0.0284,0.1052,-0.0681664,-0.2142,15.0769,25.5385,-10.4615,2,2.8973,4.58597,3
NYJ,2025,1312.8,-29.8026,-7.72976,-2.54176,-4.74757,-0.03,-0.1422,-0.0589128,0.1155,0.1428,0.0442687,-0.1455,19.6923,26.8462,-7.1538,3,4.2148,5.1369,3
TEN,2025,1311.66,-11.7022,-7.77547,0.514663,-3.03185,-0.1775,-0.2673,-0.0977037,0.0633,0.1533,-0.0247067,-0.2408,15.4615,27.4615,-12,2,2.6522,3.43429,1
