Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
KC,2025,1672.8,26.1803,7.23692,0.866392,3.90101,0.1788,0.2545,0.0697897,0.0019,-0.1125,-0.00305661,0.1769,26.75,16.375,10.375,5,6.0952,5.54637,5
DET,2025,1638.39,2.1687,5.8604,0.448428,1.1869,0.1153,0.2441,-0.0281799,-0.0717,-0.096,-0.13017,0.1869,30.7143,21.5714,9.1429,5,4.8855,5.12716,5
LAR,2025,1631.91,18.0717,5.60126,0.448428,4.49581,0.0545,0.1999,-0.156155,-0.0887,-0.1465,-0.0428315,0.1432,25,16.7143,8.2857,5,5.0537,5.06396,7
GB,2025,1615.91,18.5095,4.96118,1.3875,2.79091,0.1691,0.3412,0.00880234,0.0346,0.0203,-0.0845429,0.1346,27.5714,21.4286,6.1429,5,4.5154,5.26065,5
BUF,2025,1608.09,-3.3981,4.64858,0.825488,0.244868,0.1837,0.1829,0.133332,0.024,-0.0851,0.0309386,0.1597,29.5714,20.8571,8.7143,5,4.8706,5.68736,4
PHI,2025,1603.71,3.1959,4.47347,0.448428,-0.334009,0.0731,0.0911,0.0448882,0.024,-0.0086,0.00562314,0.0491,26,23.125,2.875,6,4.5519,5.74223,6
SEA,2025,1589.32,7.2794,3.89763,0.448428,3.96984,0.0466,0.1925,-0.15796,-0.0999,0.0501,-0.196691,0.1465,27.5714,19.4286,8.1429,5,4.8739,4.68927,7
BAL,2025,1579.2,17.0391,3.49284,6.43045,-2.9862,0.0669,0.033,0.0150008,0.0956,0.1339,0.0239836,-0.0287,25.25,27,-1.75,3,3.683,4.38495,3
HOU,2025,1578.26,12.7147,3.45518,1.15006,3.65066,-0.0041,0.0464,-0.0326557,-0.1797,-0.2303,-0.00920234,0.1756,21.8571,14.7143,7.1429,3,5.0306,4.02479,4
IND,2025,1576.25,29.7403,3.37509,1.76267,6.44746,0.2657,0.2828,0.162114,-0.0209,-0.0406,-0.0204844,0.2866,33.75,19.25,14.5,7,6.3276,5.00494,7
DEN,2025,1561.98,17.4355,2.80431,1.13675,1.19323,0.0894,0.1026,0.0453951,-0.0244,-0.0995,-0.0599587,0.1138,25.875,18.875,7,6,5.4292,5.45933,5
LAC,2025,1542.33,14.7125,2.01797,1.1756,1.25115,0.0506,0.0504,0.0124503,0.0203,-0.0487,0.0440722,0.0302,23.5,21.625,1.875,5,4.3929,5.47735,4
TB,2025,1524,8.3426,1.28516,0.448428,1.05181,-0.0116,0.0551,-0.0363848,-0.0609,-0.0732,-0.100007,0.0493,24.625,22.25,2.375,6,4.4784,4.07462,3
NE,2025,1521.02,25.2983,1.16585,0.902949,4.21585,0.0915,0.3255,-0.121815,-0.0639,-0.0025,-0.113595,0.1554,26.625,18.25,8.375,6,5.6796,4.64034,5
DAL,2025,1504.45,21.3269,0.502852,-0.581582,1.48545,0.1985,0.2323,0.0139753,0.1943,0.2161,0.0942186,0.0042,30.75,31.25,-0.5,3,3.9236,4.01185,3
PIT,2025,1502.62,10.1822,0.429878,-0.0997021,0.357666,0.108,0.1012,-0.0130888,0.0836,0.1484,-0.0281643,0.0245,25,25,0,4,3.5,4.44417,3
SF,2025,1481.13,-43.5173,-0.429883,0.352729,-1.19484,0.0232,0.0813,-0.105296,0.0265,0.0993,-0.0686101,-0.0034,20,20.5,-0.5,5,3.883,4.47843,3
MIN,2025,1475.13,-14.8382,-0.669922,-0.407017,-1.39837,-0.0879,-0.0994,-0.138873,-0.0461,-0.0984,0.0159591,-0.0418,22.1429,23.1429,-1,3,3.317,4.29625,2
ARI,2025,1466.78,-6.3417,-1.00396,0.448428,-1.19452,0.0271,0.0506,-0.0663382,0.0297,0.0798,-0.0932013,-0.0027,21.8571,22,-0.1429,2,3.473,4.06076,2
CHI,2025,1460.29,3.9734,-1.26356,-0.403198,0.0518408,-0.0053,0.0714,-0.0460854,0.0291,0.0079,-0.0332621,-0.0344,24,26.4286,-2.4286,4,3.1019,3.33903,4
WAS,2025,1455.81,-45.6676,-1.44253,-0.0985547,-3.29118,0.0632,-0.0169,0.0356869,0.0866,0.1456,-0.0147207,-0.0235,23.375,24.75,-1.375,3,3.7295,5.00196,3
ATL,2025,1450.83,-4.7705,-1.64192,-3.59042,-0.562749,-0.0626,-0.0706,-0.048993,0.0276,-0.0745,0.0339922,-0.0902,17.1429,22,-4.8571,3,2.4945,3.51158,4
