Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
LAR,2025,1674.78,27.4697,7.33124,1.67778,6.2258,0.1188,0.2673,-0.0903789,-0.0782,-0.0828,-0.107043,0.1969,27.8889,17,10.8889,7,6.8735,6.237,9
DET,2025,1674.34,9.1518,7.31377,2.46035,2.64027,0.146,0.2823,-0.0039526,-0.0328,-0.0678,-0.0748147,0.1788,31.4444,22.2222,9.2222,6,6.2533,6.19846,6
KC,2025,1646.34,11.7198,6.19366,0.525772,2.85775,0.1693,0.2212,0.0793364,0.026,-0.0621,0.0202468,0.1432,26.1111,17.6667,8.4444,5,6.4462,5.92483,6
PHI,2025,1617.11,2.1627,5.02472,0.709477,0.217241,0.0505,0.1164,-0.0134967,-0.0014,-0.0344,-0.00806835,0.0519,24.2222,21.3333,2.8889,7,5.1722,6.84398,6
SEA,2025,1616.91,12.3302,5.01655,0.700825,5.08876,0.096,0.277,-0.121129,-0.1205,0.0004,-0.157773,0.2165,30.5556,19.1111,11.4444,7,6.7728,5.79446,9
BAL,2025,1616.12,12.1182,4.98493,0.827969,-1.49411,0.0535,0.023,0.0115041,0.0623,0.0879,0.0219194,-0.0088,25.4444,26.1111,-0.6667,4,4.3621,5.65916,5
BUF,2025,1608.4,1.0061,4.67626,-0.0416989,0.272549,0.1597,0.1886,0.0913425,0.0634,-0.0358,0.0680148,0.0963,27.5556,21.8889,5.6667,6,5.6981,7.09904,5
GB,2025,1589.04,8.2058,3.90184,-0.0225098,1.73157,0.1068,0.2466,-0.0181293,0.0228,0.0335,-0.0803876,0.084,23.6667,19.5556,4.1111,5,5.5005,6.53599,6
IND,2025,1560.87,21.0148,2.77497,0.525772,5.84733,0.2114,0.1608,0.202278,-0.0097,-0.0653,-0.0134955,0.2211,32.1,20.6,11.5,8,7.4101,5.65386,9
HOU,2025,1557.08,4.0961,2.62349,1.77068,2.81897,-0.0319,0.0284,-0.0409306,-0.176,-0.2179,-0.0451811,0.1441,22.6667,16.6667,6,4,6.0708,5.47135,5
DEN,2025,1555.48,1.845,2.55941,-0.23084,0.948335,0.0112,0.0439,0.00392128,-0.0886,-0.1402,-0.10056,0.0998,23.5,17.3,6.2,8,6.7391,6.85379,7
LAC,2025,1535.49,5.8332,1.75974,0.464126,0.992915,0.0329,0.0285,0.0121166,-0.0368,-0.105,0.00559247,0.0697,24,20.3,3.7,7,5.9792,6.69773,5
SF,2025,1526.2,-0.5498,1.38814,1.07412,0.623179,0.0672,0.1363,-0.0786021,0.0803,0.1507,-0.024276,-0.0131,22,23,-1,6,4.7369,5.47216,4
NE,2025,1516.81,14.1567,1.01266,0.898013,4.06265,0.0998,0.2893,-0.0842548,-0.041,-0.0116,-0.0596009,0.1409,26.5455,18.7273,7.8182,9,7.6525,5.72089,6
TB,2025,1516.36,2.992,0.994409,0.20417,0.76106,-0.0008,0.0506,-0.0240374,-0.0342,-0.0458,-0.0732533,0.0335,24.4444,22.8889,1.5556,6,4.8499,5.15825,4
CHI,2025,1498.19,19.3654,0.267666,0.208667,1.58307,0.0546,0.0962,0.0479201,0.0621,0.0681,-0.0363791,-0.0076,26.5556,27.4444,-0.8889,6,4.3245,4.44785,6
PIT,2025,1484.8,-6.2037,-0.267666,-0.208667,-0.339878,0.0511,-0.0018,-0.0317622,0.0507,0.0505,0.00482706,0.0004,23.5556,24.4444,-0.8889,5,4.3026,5.53692,4
DAL,2025,1481.34,12.418,-0.406025,0.525771,0.576577,0.1594,0.1769,0.0275817,0.1803,0.2171,0.0845403,-0.0208,29.2222,30.7778,-1.5556,3,4.2238,4.50128,3
MIN,2025,1466.19,-19.7463,-1.01231,-0.0265185,-1.74076,-0.0913,-0.1357,-0.0753842,-0.0491,-0.0615,-0.00550738,-0.0423,22.3333,23.6667,-1.3333,4,4.1913,5.38684,3
ATL,2025,1445.81,-5.0556,-1.82728,-0.183276,-0.74811,-0.0461,-0.0695,-0.0229678,0.0413,-0.0642,0.07642,-0.0874,18.6667,23.2222,-4.5556,3,3.3609,4.36349,5
JAX,2025,1434.99,-10.684,-2.26037,0.0996435,-0.312749,0.0071,-0.0654,0.0594582,0.031,0.0186,-0.042632,-0.0239,22.7778,24.4444,-1.6667,5,4.1243,4.20575,5
ARI,2025,1420.12,-56.5768,-2.85521,0.16416,-3.04578,-0.0029,0.0212,-0.0642948,0.0214,0.0491,-0.0534042,-0.0243,22.4444,23.8889,-1.4444,3,4.168,4.91291,3
WAS,2025,1418.36,-36.9243,-2.92533,-0.737881,-4.77398,0.0562,0.0201,0.0209144,0.1651,0.2677,0.0171254,-0.1088,22.3,28,-5.7,3,3.6831,5.86998,3
CIN,2025,1402.89,-48.0728,-3.54417,0.525771,-5.21658,0.0401,-0.0404,0.0335465,0.2027,0.2939,0.121752,-0.1626,24,33.3333,-9.3333,3,2.8317,4.90754,2
NYG,2025,1394.59,-26.7341,-3.87616,0.847461,0.864033,0.0315,-0.0441,0.0128004,0.12,0.053,0.159171,-0.0885,21.7,27.3,-5.6,2,3.6724,2.87132,3
NYJ,2025,1392.29,-19.0359,-3.96805,0.339126,-0.80583,-0.009,-0.1033,-0.0364523,0.1077,0.1546,0.0132784,-0.1167,20.9,26.8,-5.9,2,3.5679,3.86428,2
CLE,2025,1391.84,-37.4679,-3.98631,0.522051,0.59186,-0.1923,-0.2913,-0.00652904,-0.0679,-0.0071,-0.187774,-0.1244,16.2222,23.4444,-7.2222,2,2.6521,3.05082,4
MIA,2025,1391.26,-16.4745,-4.00941,1.00844,-3.77276,0.0251,0.004,-0.0119549,0.1144,0.2064,0.00215525,-0.0893,21,25.6,-4.6,3,3.8475,4.78462,5
CAR,2025,1384.61,-3.035,-4.27554,-0.124126,1.32579,-0.0359,-0.1407,-0.00205816,0.055,0.1465,-0.0330542,-0.091,17.7,22.2,-4.5,5,3.6892,4.42697,4
OAK,2025,1374.22,-19.2107,-4.69089,0.342041,-2.25354,-0.1606,-0.1184,-0.244635,0.015,0.0779,-0.0635851,-0.1756,15.4444,24.4444,-9,2,2.2676,3.6699,3
NO,2025,1316.71,-11.9945,-6.99148,0.525772,-0.96375,-0.1652,-0.13,-0.134565,0.0226,0.0873,-0.0962062,-0.1879,15.5,25,-9.5,2,2.4362,3.23468,2
TEN,2025,1259.98,-26.6148,-9.26055,0.525772,-4.42748,-0.1864,-0.2836,-0.13096,0.095,0.1805,0.0121728,-0.2815,14.4444,28.5556,-14.1111,1,1.4927,2.64388,1
