Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BAL,2025,1684.86,12.4181,7.7233,0.312734,1.24438,0.31,0.3779,0.147785,0.0047,-0.0936,0.120225,0.3053,40.5,29,11.5,1,1.3763,1.88097,2
BUF,2025,1635.52,12.6341,5.74989,0.180889,1.34627,0.2471,0.1909,0.158284,0.137,0.1139,0.0146766,0.1101,35.5,25,10.5,2,1.3932,2.06971,1
PHI,2025,1631.78,1.947,5.60011,0.126015,0.792744,0.1294,-0.0726,0.117787,0.0674,-0.0873,0.00413934,0.0621,22,18.5,3.5,2,1.2025,2.10259,2
DET,2025,1619.64,11.6646,5.11468,1.12941,0.441284,0.154,0.3803,-0.109868,0.005,0.1817,-0.249484,0.149,32.5,24,8.5,1,1.3446,1.68279,1
GB,2025,1606.1,1.9294,4.57279,0.499487,2.40264,0.1367,0.3156,-0.0214233,-0.0805,-0.0961,-0.194533,0.2171,27,15.5,11.5,2,1.5768,1.88908,2
KC,2025,1575.57,11.9432,3.35168,-0.411763,0.0158789,0.0665,-0.0537,0.194145,0.1621,0.2269,0.0373629,-0.0957,19,23.5,-4.5,0,0.7533,1.80032,0
LAR,2025,1564.23,3.0912,2.89819,1.02147,1.79273,0.0871,0.1898,0.00316698,-0.094,-0.2555,-0.00248344,0.1811,23.5,14,9.5,2,1.5468,1.58849,2
LAC,2025,1559.95,11.368,2.72682,0.60834,1.96012,0.0934,0.4547,-0.309351,-0.0819,-0.2364,0.18061,0.1753,23.5,15,8.5,2,1.4869,1.563,2
DEN,2025,1538.81,6.2908,1.88143,0.109224,0.270469,0.0191,0.0099,-0.0460292,-0.0273,-0.0393,-0.190034,0.0464,24,20.5,3.5,1,1.1846,1.79861,1
TB,2025,1529.12,2.8076,1.49385,0.175718,1.26062,0.0482,0.0722,0.207128,0.0084,0.0768,-0.0913411,0.0397,21.5,19.5,2,2,1.1152,1.79969,1
MIN,2025,1514,-12.752,0.88897,-0.710689,0.160703,-0.2962,-0.6461,-0.0433042,-0.0712,-0.2951,0.133154,-0.225,16.5,23,-6.5,1,0.6256,1.90143,1
ARI,2025,1503.54,0.5137,0.470649,-0.800859,0.280195,0.0381,0.1418,0.0203618,-0.0624,-0.007,-0.0896799,0.1005,23.5,17.5,6,2,1.3358,1.68302,2
SEA,2025,1501.12,-7.9953,0.373652,0.514985,0.445952,-0.0281,-0.1297,-0.0195472,-0.1117,0.0779,-0.168197,0.0835,22,17,5,1,1.2964,1.78584,2
SF,2025,1493.71,-52.618,0.0771582,0.552539,-0.687686,0.0244,0.2165,-0.143833,-0.1064,-0.3089,-0.0123585,0.1308,21.5,17,4.5,2,1.2713,1.58584,1
WAS,2025,1493.22,-50.9333,0.057583,-2.7437,-1.79095,0.0006,-0.1082,0.10232,-0.0427,-0.0696,-0.0436491,0.0433,19.5,16.5,3,1,1.1954,1.959,1
HOU,2025,1492.32,-10.251,0.0216943,-0.119644,0.217305,-0.0886,-0.2515,0.0548992,-0.0386,0.0196,0.0761632,-0.05,14,17,-3,0,0.7739,1.46033,1
IND,2025,1491.24,16.342,-0.0216992,0.534883,3.05075,0.2546,0.3802,0.0642644,0.0353,-0.1258,0.169023,0.2193,31,18,13,2,1.5677,1.60998,2
PIT,2025,1488.82,8.7733,-0.118262,-0.924106,-0.190566,0.0007,0.0365,-0.175104,0.1166,0.2305,0.0784175,-0.116,25.5,31.5,-6,1,0.7547,1.67467,0
ATL,2025,1485.68,-9.1881,-0.243994,0.237632,0.835327,0.0147,0.002,0.00533364,-0.1799,-0.2302,-0.0532805,0.1946,21,14.5,6.5,1,1.4127,1.29522,2
DAL,2025,1484.13,13.0984,-0.30603,-0.0653564,0.67667,0.1863,0.1367,0.0351039,0.2328,0.2916,0.0573019,-0.0466,30,30.5,-0.5,1,0.9804,1.45349,0
