Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
DET,2025,1655.62,7.7572,6.16974,0.710825,1.49624,0.1695,0.3542,-0.0387375,-0.0766,-0.0589,-0.175937,0.2461,34.8,22.4,12.4,4,3.6982,3.7255,3
BUF,2025,1621.01,11.2663,4.78522,-0.705225,0.381504,0.1986,0.2321,0.101908,0.0772,-0.0211,0.0656233,0.1214,30.6,22.6,8,4,3.3611,4.47607,3
PHI,2025,1616.17,-0.7529,4.59144,-1.02728,-0.21604,0.0242,-0.0305,0.045167,-0.0254,-0.0521,-0.024295,0.0496,25,21.8,3.2,4,2.9022,4.3471,3
GB,2025,1601.86,7.5864,4.01908,-0.214927,1.84881,0.1313,0.3077,0.00160813,0.0109,0.0378,-0.0666571,0.1204,26,21,5,2,2.4956,3.31571,2
KC,2025,1598.08,18.9665,3.86786,-0.176846,0.531943,0.1305,0.1271,0.138761,0.0661,-0.0954,0.091543,0.0644,25,21.4,3.6,2,2.9555,3.48034,2
LAR,2025,1576.7,17.7675,3.0127,-0.203213,1.90725,0.0237,0.2112,-0.175788,-0.0247,-0.0295,-0.0307077,0.0484,24.6,21.4,3.2,3,2.9091,3.45092,4
DEN,2025,1574.34,9.808,2.91841,0.40709,1.30733,0.0545,0.0943,0.0116478,-0.0684,-0.0854,-0.10762,0.1229,23.4,16.8,6.6,3,3.4341,3.35086,2
WAS,2025,1555.2,5.4825,2.15287,0.308027,0.304224,0.148,0.1153,0.105372,0.0107,0.0787,-0.0743831,0.1373,26.8,20.2,6.6,3,3.3076,3.74344,2
SEA,2025,1541.19,11.2126,1.59255,-0.0183544,1.66477,0.1131,0.3076,-0.122787,-0.0406,0.1491,-0.180689,0.1537,29.2,21,8.2,3,3.4298,3.48745,4
TB,2025,1532.73,17.4736,1.25392,0.594614,1.02057,0.0436,0.195,-0.0257887,0.0338,0.1203,-0.101085,0.0098,27,26.4,0.6,4,2.5666,3.10133,2
IND,2025,1527.77,19.9581,1.0557,0.425181,4.12806,0.218,0.2682,0.0958241,-0.072,-0.0957,-0.0624133,0.29,32.6,17.8,14.8,4,4.0377,3.29332,3
MIN,2025,1522.43,-12.0208,0.841953,-0.214927,0.113506,-0.0582,-0.0472,-0.087212,-0.1296,-0.3538,0.0539719,0.0714,24.6,19.4,5.2,3,3.1855,3.11129,2
LAC,2025,1518.91,-3.4538,0.701108,-0.728857,-0.0657178,-0.0232,-0.0507,-0.00401555,-0.0185,-0.0893,0.0186783,-0.0046,19.6,19.6,0,3,2.5,3.55587,3
JAX,2025,1507.74,1.2496,0.254561,0.365703,2.20218,0.039,0.0092,0.0488115,-0.0556,-0.1265,0.0430003,0.0946,25.4,20,5.4,4,3.1897,2.50958,4
PIT,2025,1506.06,5.3616,0.18729,-0.214927,0.115078,0.0563,0.0576,-0.0502174,0.0483,0.125,-0.0613683,0.008,24,24.5,-0.5,3,1.9511,2.86444,2
