Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
DET,2025,1635.71,10.959,5.42516,-0.787217,0.75166,0.1574,0.3339,-0.0379887,-0.0146,0.0328,-0.152042,0.172,31.8333,23.6667,8.1667,4,4.0126,4.32922,4
KC,2025,1629.35,23.7445,5.17083,1.23244,1.83491,0.1541,0.182,0.101688,0.0694,-0.0412,0.0726916,0.0847,25.8333,20.6667,5.1667,3,3.7753,4.36136,4
BUF,2025,1620.9,11.2663,4.83271,0.0549803,0.428994,0.1541,0.1599,0.0927926,0.0759,-0.0196,0.0818493,0.0782,27.8333,22.8333,5,4,3.6913,4.46489,3
LAR,2025,1614.31,12.9659,4.56944,1.42533,3.46399,0.0055,0.1895,-0.17505,-0.0788,-0.1135,-0.0597612,0.0843,23.3333,18.3333,5,4,3.8347,4.20138,6
GB,2025,1598.36,8.4141,3.9313,-0.0848584,1.76103,0.1582,0.3034,0.0331963,0.0334,0.0612,-0.0644212,0.1248,26.2,20.4,5.8,3,3.2203,3.85919,3
HOU,2025,1583.85,8.2988,3.35093,0.0549805,3.54642,0.0187,0.0362,0.0293325,-0.2017,-0.2124,-0.0108001,0.2204,21.6,12.2,9.4,2,3.9738,3.10685,3
SEA,2025,1579.64,12.6812,3.1824,1.57397,3.25461,0.1034,0.3212,-0.181707,-0.0543,0.12,-0.163344,0.1577,27.6667,19.5,8.1667,4,4.1769,4.05905,6
PHI,2025,1579.25,-1.2443,3.16682,-1.51451,-1.64066,0.0139,-0.042,0.0246519,0.0177,-0.0169,0.0222903,-0.0038,23.6667,23.8333,-0.1667,4,2.9751,4.91572,4
DEN,2025,1565.58,8.1911,2.62002,-0.202139,1.00895,0.0248,0.082,-0.028792,-0.0882,-0.1873,-0.10704,0.113,21.6667,15.8333,5.8333,4,4.0664,4.14064,3
WAS,2025,1550.15,7.3916,2.00283,-0.14459,0.15418,0.1308,0.1352,0.0232988,0.0284,0.0836,-0.0286934,0.1024,26.3333,21,5.3333,3,3.7858,4.34193,3
TB,2025,1545.13,19.9625,1.80211,0.571792,1.56876,0.0668,0.2335,-0.0153027,0.0313,0.0747,-0.0945961,0.0355,27.5,25.1667,2.3333,5,3.3141,3.4134,3
LAC,2025,1530.42,2.6796,1.21352,0.512578,0.446694,0.0089,-0.0104,-0.00526034,-0.0021,-0.077,0.05445,0.011,21.1667,20.8333,0.3333,4,3.0564,4.12023,3
IND,2025,1523.77,23.3096,0.94772,-0.086875,4.02008,0.2176,0.2403,0.112644,-0.03,-0.0483,-0.0509884,0.2475,32.3333,19.3333,13,5,4.6311,3.6474,5
PIT,2025,1519.26,10.2235,0.767178,0.579326,0.694966,0.0755,0.1135,-0.0585613,0.0154,0.0188,-0.0538222,0.0601,23.8,21.4,2.4,4,2.8132,3.41217,3
ATL,2025,1504.07,-6.2204,0.159741,0.566191,1.23891,-0.0192,-0.0235,0.00635623,-0.0277,-0.1672,0.04487,0.0086,20,20,0,3,2.5,2.42687,4
DAL,2025,1500.39,30.5937,0.012334,-0.0549756,0.994937,0.2075,0.2602,0.01164,0.2122,0.3087,0.0568597,-0.0047,29.6667,30.6667,-1,2,2.8822,3.1565,2
MIN,2025,1499.77,-22.8092,-0.0123291,0.0549805,-0.740776,-0.0582,-0.0472,-0.087212,-0.1296,-0.3538,0.0539719,0.0714,24.6,19.4,5.2,3,3.1855,3.56264,2
CHI,2025,1483.68,9.6549,-0.655879,0.3146,0.659521,-0.0154,0.0795,-0.0748585,0.0337,0.0593,-0.0738979,-0.0491,25.2,28.2,-3,3,2.1687,2.44542,2
NE,2025,1481.63,18.0528,-0.737827,0.615693,2.31217,0.0895,0.3127,-0.157857,0.0036,0.1701,-0.125872,0.0859,25,20,5,4,3.7753,3.3092,3
SF,2025,1479.02,-44.056,-0.84248,-0.615708,-1.60744,0.0158,0.1045,-0.132605,0.0041,0.0745,-0.0807788,0.0117,20.8333,21.3333,-0.5,4,2.9157,3.48601,2
JAX,2025,1466.56,-1.7092,-1.34059,-1.55254,0.607031,0.0108,0.0055,0.0359236,-0.0397,-0.0646,-0.0642781,0.0505,23.1667,20,3.1667,4,3.5173,2.86984,4
ARI,2025,1460.96,-7.2528,-1.57286,3.00393,-1.76342,0.0229,0.0544,-0.0470651,0.0111,0.064,-0.107943,0.0117,21.6667,21.1667,0.5,2,3.083,3.72197,2
BAL,2025,1454.8,-124.277,-1.81103,0.0549805,-8.29006,0.0051,-0.0538,-0.02328,0.1541,0.1885,0.0809056,-0.149,24,32.3333,-8.3333,1,1.9824,3.21236,2
MIA,2025,1426.49,-6.1229,-2.94346,-0.49001,-2.70681,0.0872,0.079,0.018273,0.2139,0.285,0.153943,-0.1267,22.3333,29,-6.6667,1,2.0999,3.3212,3
NYJ,2025,1416.99,-7.841,-3.32342,-0.555107,-0.161196,-0.0182,-0.0761,-0.0778652,0.1457,0.2427,-0.0164738,-0.1638,20.5,28.3333,-7.8333,0,1.9028,2.86493,1
OAK,2025,1398.4,-14.2193,-4.06717,0.0729446,-1.62982,-0.1389,-0.0847,-0.217229,0.0048,0.0756,-0.13496,-0.1437,17.1667,24.8333,-7.6667,2,1.7652,2.65301,3
CIN,2025,1397.69,-82.4884,-4.09542,0.654273,-5.76783,-0.1225,-0.2359,-0.0946607,0.1229,0.209,0.0333156,-0.2454,17.1667,30.5,-13.3333,2,1.2233,3.42478,1
CAR,2025,1379.31,0.994,-4.83083,0.518589,0.770493,0.0094,-0.0623,0.071651,0.0537,0.1778,-0.0700761,-0.0443,22,24.3333,-2.3333,3,2.6433,2.89937,3
NYG,2025,1376.25,-33.1985,-4.95296,1.9952,-0.212769,-0.0212,-0.1452,-0.0269897,0.0454,0.0217,0.0784182,-0.0666,20.1667,24,-3.8333,2,2.39,1.75549,3
NO,2025,1358.4,3.6975,-5.66713,-0.118598,0.3606,-0.1157,-0.0768,-0.0367069,0.0369,0.1361,-0.107409,-0.1526,18.5,26.6667,-8.1667,1,1.7758,2.50965,1
CLE,2025,1348.27,-42.6879,-6.07238,-0.471533,-1.49421,-0.1904,-0.2859,0.0187266,0.0023,0.1693,-0.19349,-0.1928,13.6667,24.3333,-10.6667,1,1.2184,1.9331,2
TEN,2025,1311.8,-25.1886,-7.53108,-0.292847,-2.69801,-0.1976,-0.3086,-0.139405,0.0524,0.126,-0.0552678,-0.25,13.8333,26.8333,-13,1,1.0331,2.07422,1
