Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BAL,2025,1671.12,8.6944,6.82754,-0.934849,0.348623,0.2762,0.3728,0.00837685,0.1159,0.0413,0.174216,0.1602,37,32,5,1,1.7555,2.35856,2
BUF,2025,1639.59,13.0299,5.56631,-0.222666,1.1627,0.2578,0.2419,0.167013,0.1178,0.0642,0.0499383,0.14,34,23.6667,10.3333,3,2.1071,2.96423,1
PHI,2025,1635.95,6.1649,5.4209,-0.218301,0.613535,0.0628,-0.0446,0.0983893,-0.0055,-0.0831,0.00523623,0.0683,25.6667,21,4.6667,3,1.8501,2.75269,2
DET,2025,1629.69,11.3175,5.17041,0.0166359,0.497012,0.2307,0.4182,0.0418739,0.0738,0.2448,-0.278654,0.1568,34.3333,26,8.3333,2,1.977,2.48301,1
GB,2025,1590.26,-4.5071,3.59313,-1.01874,1.42298,0.0421,0.2024,-0.0578855,-0.0951,-0.141,-0.121534,0.1372,21.3333,14.6667,6.6667,2,2.1254,2.53622,2
KC,2025,1579.49,4.6581,3.16254,-0.228237,-0.173267,0.0805,0.0427,0.121275,0.0568,-0.024,0.0207198,0.0237,20,18.6667,1.3333,1,1.6224,2.31967,0
LAR,2025,1560.23,1.0095,2.39213,-0.545146,1.28667,0.0084,0.0977,0.00460892,-0.0829,-0.1671,0.014103,0.0913,24.3333,20.3333,4,2,1.8145,2.21978,2
LAC,2025,1557.85,4.7556,2.29666,-0.57562,1.52996,0.0237,0.2358,-0.210133,-0.0976,-0.1958,0.102743,0.1213,23.3333,16.6667,6.6667,3,2.0683,2.3358,2
WAS,2025,1555.64,1.1267,2.20847,2.14662,0.359941,0.0921,0.0321,0.111203,-0.0376,0.0766,-0.142372,0.1296,26.6667,19,7.6667,2,2.0721,2.55543,1
SF,2025,1551.4,3.3469,2.03883,1.92258,1.27399,0.0084,0.1523,-0.166634,-0.07,-0.198,-0.00954704,0.0784,19.6667,16.3333,3.3333,3,1.8249,2.19049,1
DEN,2025,1531.54,2.0362,1.24444,-0.676074,-0.366514,-0.0246,-0.0088,-0.0417492,-0.0475,-0.0432,-0.134511,0.0229,22.6667,21.3333,1.3333,1,1.6076,2.43033,1
MIN,2025,1528.89,-11.6467,1.13829,0.210225,0.41002,-0.1634,-0.3308,-0.0072085,-0.2666,-0.6065,0.017689,0.1032,27,18.6667,8.3333,2,2.1172,2.32947,1
IND,2025,1522.44,20.8353,0.880474,0.863081,3.95292,0.2831,0.3951,0.0937035,-0.0208,-0.2032,0.125417,0.3038,34.3333,18.6667,15.6667,3,2.4273,1.95177,2
